id,search_query,title,author,editorial,isbn,price,original_price,discount,description,translator,illustrator,language,pages,reading_time,binding,release_date,edition_year,edition_place,collection,height,width,weight,origin,url,image_url,timestamp
1,más que rivales-rachel reid-9791387972561,MÁS QUE RIVALES,Rachel Reid,Montena,9791387972561,$ 90.249 COP,,,"Descubre el sports romance de hockey en el que se inspira la serie de televisión de éxito «Heated Rivalry».

Nada puede interferir en el juego de la estrella del hockey profesional Shane Hollander.

Ahora que es el capitán de los Montreal Voyageurs, no permitirá que nada lo ponga en peligro, y mucho menos su sexy rival, a quien le encanta odiar.

El capitán de los Boston Bears, Ilya Rozanov, es todo lo que Shane no es. Autoproclamado Rey del hielo, tiene tanta arrogancia como talento. Nadie puede vencerlo, excepto Shane. En público, son enemigos. En privado, no pueden dejar de tocarse.

Lo más inteligente ahora sería alejarse, especialmente cuando unos cuantos encuentros secretos se convierten en una lucha por mantener su relación fuera de la prensa. La verdad podría arruinarlos a ambos.

Pero para Shane e Ilya, el secreto pronto deja de ser una opción...","Ana Mata Buil, Anaís Badilla",,Castellano,432,10h 19m ¿Cómo se calcula?,Tapa blanda,24/02/2026,2026,Es,Lo Más Visto,23.0 cm,15.0 cm,484.0 gr,España,https://www.casadellibro.com/libro-mas-que-rivales/9791387972561/17848539,https://imagessl1.casadellibro.com/a/l/t1/61/9791387972561.jpg,2026-03-10 16:00:49
2,un himno a la vida. mi historia-gisele pelicot-9788426433213,UN HIMNO A LA VIDA. MI HISTORIA,Gisèle Pelicot,SIMULTÁNEO EN 20 IDIOMAS.,9788426433213,$ 90.249 COP,,,"EL ILUMINADOR LIBRO DE MEMORIAS DE UNA HEROÍNA DE NUESTRO TIEMPO. UN ACONTECIMIENTO EDITORIAL SIMULTÁNEO EN 20 IDIOMAS.

Una mañana de noviembre, Gisèle Pelicot fue llamada a una comisaría y la vida tal como la conocía llegó a su fin. Su marido había sido sorprendido por un guardia de seguridad de un supermercado grabando por debajo de la falda a varias mujeres. En su ordenador aparecieron otras pruebas devastadoras: durante casi una década, había estado drogándola y violándola en secreto, e invitando a desconocidos a su casa para que abusaran de ella. Cuatro años después, él y otros cincuenta hombres fueron llevados a juicio, y el coraje de Gisèle al renunciar a su derecho al anonimato ocupó los titulares en todo el mundo. «La vergüenza debe cambiar de bando», declaró, dando voz y esperanza a millones de personas.

Por primera vez, y con una franqueza y elegancia inquebrantables, Gisèle cuenta toda su historia, partiendo de esa fatídica mañana y reviviendo una infancia difícil, su primer amor, su carrera, la maternidad, la intimidad de su matrimonio antes y después del demoledor descubrimiento y el continuo afán de buscar la felicidad, incluso cuando esta pueda parecer imposible, para reconstruirse. Escritas junto a la premiada periodista y novelista Judith Perrignon, estas luminosas memorias suponen un acontecimiento editorial mundial de enorme profundidad y trascendencia.

La crítica ha dicho:«Nos asustaba abrir este libro. [...] Lo cerramos con una doble gratitud: hacia G",Noemí Sobregués Arias,,Castellano,256,6h 3m ¿Cómo se calcula?,Tapa blanda,17/02/2026,2026,Es,Narrativa,22.8 cm,15.3 cm,438.0 gr,España,https://www.casadellibro.com/libro-un-himno-a-la-vida-mi-historia/9788426433213/17462822,https://imagessl3.casadellibro.com/a/l/t1/13/9788426433213.jpg,2026-03-10 16:01:11
3,"si no crees en dios, te doy su telefono-paco arango-9788403526358","SI NO CREES EN DIOS, TE DOY SU TELEFONO",Paco Arango,Aguilar,9788403526358,$ 94.999 COP,,,"Paco Arango, director de cine y presidente de Fundación Aladina, presenta unas memorias muy personales en las que relata su historia de fe y esperanza.

***Este es un libro benéfico con el que, además de leer, contribuyes a la labor de la Fundación Aladina.***

Durante más de veinticinco años, Paco Arango ha acompañado a niños y adolescentes con cáncer, compartiendo risas, confidencias y también el instante más duro, cuando alguno de esos pequeños guerreros llegaba al final de su camino. De esas vivencias nació la Fundación Aladina, hoy una de las más importantes de España y reconocida internacionalmente, con mejoras hospitalarias pioneras y un apoyo integral a miles de familias.

Cineasta internacional que dona todo lo que gana a esta causa, Paco ha sido testigo de milagros sorprendentes —dentro y fuera del hospital— y guarda relatos que parecen imposibles. Dudó durante años en contarlos, temiendo no ser creído, hasta que comprendió que no eran solo para él: son señales al alcance de quien se atreva a abrir la puerta de la fe.

Si no crees en Dios, te doy su teléfono reúne esas historias reales y conmovedoras para mostrar que el cielo responde cuando lo llamamos. Un testimonio único que supera cualquier ficción y nos invita a creer que cualquiera puede tener una relación personal e íntima con Dios —el Míster, como Paco lo llama— y a descubrir la magia inesperada que ocurre cuando te atreves a marcar su número.",,,Castellano,256,6h 3m ¿Cómo se calcula?,Tapa blanda,05/02/2026,2026,Es,Primera Persona,22.9 cm,15.0 cm,348.0 gr,España,https://www.casadellibro.com/libro-si-no-crees-en-dios-te-doy-su-telefono/9788403526358/17549090,https://imagessl8.casadellibro.com/a/l/t1/58/9788403526358.jpg,2026-03-10 16:01:26
4,la sociedad del cansancio (4ª ed.)-byung-chul han-9788425451447,LA SOCIEDAD DEL CANSANCIO (4ª ED.),Byung-Chul Han,Editorial:,9788425451447,$ 52.249 COP,,,"Byung-Chul Han detecta que en las últimas décadas se ha producido en nuestras sociedades occidentales avanzadas un cambio de paradigma y que la anterior sociedad disciplinaria --basada en imperativos y prohibiciones externos-- ha pasado a ser una sociedad del rendimiento, en la que los individuos se afanan por explotarse a sí mismos. Si antiguamente el quebrantamiento de la norma acarreaba el castigo, ahora el incumplimiento del anhelo provoca frustración.Cifrar la plenitud personal y el sentido de la vida en la incesante autoexigencia de rendir cada vez más conlleva como resultados culturales la nivelación de todas las diferencias, el infierno de lo igual y la pura positividad. Como consecuencias psicológicas acarrea cansancio, aburrimiento e indiferencia y como secuelas psiquiátricas ocasiona diversos síndromes: de hiperactividad, impaciencia, desatención y agotamiento. De este modo, el precio vital exige la renuncia al ánimo festivo, a la pura celebración de la vida.",Comité Herder Editorial,,Castellano,120,2h 46m ¿Cómo se calcula?,Tapa blanda,04/11/2025,2024,Barcelona,fuera de colección,19.8 cm,12.2 cm,137.0 gr,España,https://www.casadellibro.com/libro-la-sociedad-del-cansancio-4-ed/9788425451447/15909131,https://imagessl7.casadellibro.com/a/l/t1/47/9788425451447.jpg,2026-03-10 16:01:41
5,mimitos: los abrazos de papa-sophie bouxom-9789878151977,MIMITOS: LOS ABRAZOS DE PAPA,Sophie Bouxom,Catapulta Editores,9789878151977,$ 45.599 COP,,,"Un abrazo que da confianza, un abrazo que hace cosquillas, un abrazo que quiere decir “te quiero” A mi me gustan todos los abrazos. ¡Pero los que más me gustan son los de mi papá! Descubre esta colección de libros de felpa para los más pequeños. En cada página encontrarán hermosas ilustraciones con partes de felpa para acariciar.",,,Castellano,10,,Tapa dura,05/02/2024,2024,Es,de libros de felpa para los más pequeños. En cada página encontrarán hermosas ilustraciones con partes de felpa para acariciar.,18.0 cm,18.0 cm,,España,https://www.casadellibro.com/libro-mimitos-los-abrazos-de-papa/9789878151977/15823406,https://imagessl7.casadellibro.com/a/l/t1/77/9789878151977.jpg,2026-03-10 16:01:57
6,el ruso 3. viaje al centro del cuchillas-9788408315407,EL RUSO 3. VIAJE AL CENTRO DEL CUCHILLAS,AlesGF,Destino Infantil & Juvenil,9788408315407,$ 71.249 COP,,,"¿CÓMO? ¿QUE NO SABES QUÉ DEMONIOS SE LES HA PERDIDO AL TEAM FANTASY EN EL CUERPO DEL CUCHILLAS? AVERÍGUALO Y ÉCHATE UNAS RISAS EN ESTA ESCATOLÓGICA AVENTURA PROTAGONIZADA POR EL RUSO, EL PERSONAJE MÁS SALVAJE DE ALESGF.




¡El Cuchillas se encuentra fatal! Tanto trote espacial le ha dejado las tripas revueltas, y todo apunta a que ese chorro de vómito negro no se cura con arroz hervido. ¿Será una enfermedad incurable? ¿Habrá comido albóndigas en mal estado? ¿O tendrá dentro un parásito alienígena?




Para resolver el enigma, el Ruso y la Team Fantasy se embarcarán en un viaje al corazón del Cuchillas. Bueno, al corazón y a otros órganos no tan nobles. ¿Listo para ponerte tu traje de gastronauta y ayudarlos a cumplir esta misión llena de pruebas, acertijos y glóbulos blancos?

¡CONTIENE CÓDIGOS QR CON VÍDEOS EXCLUSIVOS!
¡Y UNA LÁMINA DE PEGATINAS DE REGALO!",,,Castellano,144,,Tapa dura,25/02/2026,2026,Barcelona,Jóvenes Influencers,22.5 cm,14.5 cm,,España,https://www.casadellibro.com/libro-el-ruso-3-viaje-al-centro-del-cuchillas/9788408315407/17782111,https://imagessl7.casadellibro.com/a/l/t1/07/9788408315407.jpg,2026-03-10 16:02:12
7,magic animals 11. el tesoro del laberinto-carles dalmau-susanna isern-9788408316763,MAGIC ANIMALS 11. EL TESORO DEL LABERINTO,"Carles Dalmau, Susanna Isern",Destino Infantil & Juvenil,9788408316763,$ 52.249 COP,,,"Un enigmático globo sobrevuela el valle de Blim. Se dirige ni más ni menos que hacia el Laberinto Prohibido. ¿Quién lo conduce? Y lo más inquietante de todo: ¿cuáles son sus intenciones? Abi, Éric, Yuna, Cloe y Nico acaban de descubrir que allí se oculta un tesoro que protege el equilibrio natural del valle… Acompañados por Evalisto y Marisabia, los Magic Animals se adentrarán en el corazón del laberinto para resolver el enigma y desenmascarar al misterioso viajero.




*




MAGIC ANIMALS es la serie que reúne todos los ingredientes para triunfar e ilusionar a los pequeños lectores en un mundo lleno de niños y niñas, magia, aventuras, seres fantásticos… y animales.




En el misterioso valle de Blim habitan seres fantásticos capaces de adoptar forma de niño y de animal. Seres que, a través de un amuleto mágico, pueden transformarse en MAGIC ANIMALS con poderes increíbles.




*




Una colección para primeros lectores, con capítulos breves, letra grande y lenguaje adaptado al nivel lector.




Una serie de libros ideal para aprender a leer, con parte narrativa y parte de cómic y perfecta para pasar horas de diversión y entretenimiento.




Ilustraciones a todo color y con páginas en formato cómic, que facilitan la lectura y la comprensión del lector, creadas por Carles Dalmau, un joven ilustrador que se han hecho un hueco destacado en el mundo de la ilustración, el cómic y el manga. Cuenta con más de 700.000 seguidores en sus redes.




Una colección llena de magia, poderes,",,"que se han hecho un hueco destacado en el mundo de la ilustración, el cómic y el manga. Cuenta con más de 700.000 seguidores en sus redes.",Castellano,128,,Tapa blanda,04/03/2026,2026,Barcelona,"para primeros lectores, con capítulos breves, letra grande y lenguaje adaptado al nivel lector.",20.0 cm,14.0 cm,,España,https://www.casadellibro.com/libro-magic-animals-11-el-tesoro-del-laberinto/9788408316763/17848028,https://imagessl3.casadellibro.com/a/l/t1/63/9788408316763.jpg,2026-03-10 16:02:26
8,daredevil de ed brubaker y michael lark 2-ed brubaker-michael lark-9788410497825,DAREDEVIL DE ED BRUBAKER Y MICHAEL LARK 2,"Ed Brubaker, Michael Lark",Panini,9788410497825,$ 208.999 COP,,,Segundo y último volumen de la etapa de Brubaker y Lark en Daredevil. Matt Murdock intenta demostrar la inocencia de un condenado a muerte mientras surge una nueva amenaza: Lady Bullseye.,,,Castellano,496,,Tapa dura,26/02/2026,2026,,,26.0 cm,17.0 cm,,España,https://www.casadellibro.com/libro-daredevil-de-ed-brubaker-y-michael-lark-2/9788410497825/17975577,https://imagessl5.casadellibro.com/a/l/t1/25/9788410497825.jpg,2026-03-10 16:02:40
9,el nombre de la rosa novela gráfica 2 de 2-umberto eco-milo manara-9788426425713,EL NOMBRE DE LA ROSA NOVELA GRÁFICA 2 DE 2,"Umberto Eco, Milo Manara",Lumen,9788426425713,$ 94.999 COP,,,"LA ESPERADA CONTINUACIÓN DE EL NOMBRE DE LA ROSA, DE ECO Y MANARA

DOS GENIOS UNIDOS EN «UNA OBRA CUMBRE DE LA NARRATIVA GRÁFICA [...], LLAMADA A CONVERTIRSE EN UN CLÁSICO DEL NOVENO ARTE». (Corriere di Bologna)

«Un trabajo bello, sabio y sugerente. [...] Manara ilumina la novela de Umberto Eco con su dibujo [que] permite mostrar zonas que antes permanecían a oscuras».Jordi Canyissà, La Vanguardia

Mientras la abadía se sume en la confusión y el miedo crece entre sus muros, el fraile Guillermo de Baskerville aviva su enconada búsqueda de la verdad. Cada nuevo indicio lo acerca al corazón del misterio y a una laberíntica biblioteca que atesora un conocimiento tan rico como peligroso. En el centro de la intriga, el novicio Adso de Melk tendrá que hacer frente a la duda, el deseo y la violencia en un viaje iniciático que marcará su destino para siempre.

Con su trazo inconfundible, Milo Manara culmina esta deslumbrante adaptación de la obra maestra de Umberto Eco: un thriller sobre el poder, la herejía y el amor por los libros que ha fascinado a millones de lectores en todo el mundo.

La crítica ha dicho:

«Cuando un maestro del dibujo se encuentra con un maestro de la palabra solo hay un resultado posible: sublime».Luca Valtorta, Robinson (La Repubblica)«Todo su indiscutible talento está al servicio de reflejar el agreste paisaje montañoso, las muchas dependencias de la abadía y los caracteres físicos y psicológicos de los cultos, convulsos, lujuriosos, criminales y según, o t",Ricardo Pochtar,,Castellano,72,,Tapa dura,26/02/2026,2026,Es,Lumen Gráfica,29.6 cm,22.5 cm,592.0 gr,España,https://www.casadellibro.com/libro-el-nombre-de-la-rosa-novela-grafica-2-de-2/9788426425713/17549157,https://imagessl3.casadellibro.com/a/l/t1/13/9788426425713.jpg,2026-03-10 16:02:55
10,nana nº 06-ai yazawa-9791387918453,NANA Nº 06,Ai Yazawa,Planeta,9791387918453,$ 85.499 COP,,,"La obra maestra de Ai Yazawa.

Nana Komatsu tramita urgentemente la documentación para casarse con Takumi. Cuando Nana Osaki se entera, no puede soportar la soledad que esto le produce y tiene un ataque de ansiedad delante de Ren. Ahora los dos se van a mudar a un nuevo piso llevando consigo todas sus zozobras...",S. A. Editorial Planeta,,Castellano,688,,Tapa dura,04/03/2026,2026,Barcelona,Manga Shojo,21.0 cm,14.8 cm,,España,https://www.casadellibro.com/libro-nana-n-06/9791387918453/17848493,https://imagessl3.casadellibro.com/a/l/t1/53/9791387918453.jpg,2026-03-10 16:03:10
